whole_text,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_t1_z,volume_t1_z,close_t2_z,volume_t2_z,close_t3_z,volume_t3_z,close_t4_z,volume_t4_z,close_t5_z,volume_t5_z
"won't be a hatchback, but we should be able to increase the opening width and height",0,0,0,0,0.1896,0.0345,0.7759,-2.075,0.343,0.002,0.41,-1.377,-0.681,-2.223,-0.356,-3.474,1.198,-4.611,5.034,-3.392,-0.097
"Over 325k cars or ~$14B in preorders in first week. Only 5% ordered max of two, suggesting low levels of speculation.",0,0,0,0,0.0981,0.1031,0.7987,2.041,1.73,0.001,0.582,-0.22,-1.102,-0.152,-0.223,0.502,-0.328,0.084,-0.698,1.785,1.476
"Reasons for ocean landing are technical, not economic. Orbit requires extreme horizontal velocity. Getting to space needs none.",0,0,0,0,0.0555,0.2862,0.6583,0.105,1.597,0.001,0.233,-0.828,-0.368,-0.985,-1.773,-2.56,2.706,-1.983,2.162,-3.977,4.353
"Activate autopilot 4X in quick succession for psychedelic cowbell road. And, yes, we are adding more cowbell soon.",0,0,0,0,0.4965,0.0037,0.4998,-2.197,2.126,0.005,1.621,-2.384,0.295,-3.976,0.473,-4.032,0.416,-3.346,0.424,-3.732,-0.146
Dragon 2 is designed to be able to land anywhere in the solar system. Red Dragon Mars mission is the first test flight.,0,0,0,0,0.4206,0.0047,0.5747,2.008,1.988,0.001,0.719,-0.313,-0.77,0.141,-0.486,-0.97,0.367,-0.202,1.285,-0.162,0.653
Bioweapon Defense Mode is real This is what happens when you turn it on:,0,0,0,0,0.0963,0.0345,0.8692,2.286,0.694,0.001,1.036,-3.254,-0.122,-1.237,-0.327,-1.617,-0.825,1.385,-0.793,2.583,-0.635
Filtering particulates from air makes a significant & measurable diff to health. Wd like to credit Larry Page with turning me on to this.,0,0,0,0,0.6443,0.0292,0.3264,-1.478,-2.3,0.001,0.763,-1.759,-1.005,-1.61,-0.974,-0.206,-1.066,-0.564,-1.161,-1.281,-0.153
"Launch trajectory of Japanese commercial satellite JCSat-14, enroute to 36,000 km above Earth",0,0,0,0,0.0954,0.0148,0.8898,-0.871,0.628,0.002,0.251,0.359,-1.461,-1.299,-1.173,-1.692,-1.391,-1.316,-1.409,1.438,0.361
Merc News story about Tesla using $5/hr labor seems to be missing a digit. Tesla actually paid $55/hr.,1,0,0,0,0.0333,0.2967,0.67,2.317,2.676,0.001,0.949,2.055,0.432,2.257,0.556,1.854,0.267,1.249,-0.508,0.913,-0.579
"Yes, but it is false of Merc News to say that Tesla took advantage of low cost labor. We paid $55/hr. That is unequivocal.",1,0,0,0,0.0386,0.5281,0.4333,1.398,1.254,0.001,0.505,3.489,-0.102,4.678,7.496,5.097,1.126,3.559,2.835,2.86,-0.981
Ancient Mars likely saw violent tsunamis that forever altered its landscape. Great image of ancient Mars,0,0,1,0,0.5179,0.079,0.4032,1.34,2.042,0.001,0.499,1.177,-0.286,2.611,0.513,6.208,4.418,5.831,0.363,7.089,0.393
Really fun Model X review by . Best part is X racing while towing a fuel sports car,1,0,0,0,0.9674,0.0032,0.0294,0.232,2.127,0.0,1.112,-0.603,0.185,-3.698,0.615,-3.322,-0.376,-1.049,-0.117,-1.821,-0.393
Just heard that Norway will ban new sales of fuel cars in 2025. What an amazingly awesome country. You guys rock!!,0,0,0,0,0.9629,0.0076,0.0294,0.852,0.925,0.0,1.268,5.128,1.207,6.831,1.238,7.125,0.517,7.683,-0.174,5.601,-0.105
Upgrades underway to enable rocket to compensate for a thrust shortfall on one of the three landing engines. Probably get there end of year.,0,0,0,0,0.2965,0.0146,0.6889,1.917,1.812,0.001,0.997,1.565,-0.407,1.763,-0.418,2.606,0.535,1.053,0.443,1.049,-0.523
Wrong to exclude non-occupant deaths. Autopilot would have prevented this cyclist from being killed,0,0,0,0,0.0061,0.8357,0.1582,-2.301,-0.981,0.0,0.197,-0.951,-2.508,-3.289,-0.693,-1.419,-2.149,-2.503,-3.706,-2.471,-0.26
"Will be working at Tesla on Autopilot & Model 3 today, then aiming to pull an all-nighter and complete the master product plan",1,0,0,0,0.355,0.0067,0.6383,-0.905,1.679,0.0,0.534,0.078,-0.48,-2.25,1.554,6.026,2.764,7.319,12.575,4.216,0.894
Finishing off the plan while listening to the soundtrack from Gatsby. Seems appropriate...,0,0,0,0,0.7312,0.0033,0.2655,1.646,-1.094,0.001,0.345,-0.424,1.711,-1.049,0.346,0.134,1.641,-0.14,0.056,-0.689,0.864
Via : Sun-Powered Airplane Completes Historic Trip Around The World,0,0,0,0,0.1616,0.0049,0.8336,0.642,-2.187,0.0,0.959,-1.06,-0.469,0.064,-0.665,0.064,-0.809,0.064,1.804,-2.023,1.925
Letter from basically every scientific org in the United States to Congress about climate change,0,0,0,0,0.0849,0.086,0.8291,-1.022,1.732,0.0,0.987,1.788,-0.73,1.891,-0.645,2.554,-0.232,3.15,-0.841,6.129,-0.35
Should mention that Gigafactory will be fully powered by clean energy when complete & include battery recycling,0,0,0,0,0.4605,0.0125,0.5271,-1.184,0.803,0.0,0.429,-8.965,5.127,-10.042,-0.873,-20.809,5.272,-20.809,0.393,-19.732,7.914
Will be live streaming the Gigafactory launch party tonight. Check this eve.,0,0,0,0,0.3277,0.003,0.6693,2.471,2.653,0.001,0.485,0.605,-0.889,0.813,-1.392,1.021,-1.146,0.188,-0.089,-0.763,-0.849
Journalist Q&A for 30 mins and embargo ends at 12:30,0,0,0,0,0.0522,0.0066,0.9412,0.238,2.351,0.001,0.819,0.934,0.132,0.41,-0.835,0.227,-1.031,0.982,-0.786,1.172,-0.943
SES-10 will #launch on flight-proven Falcon-9 rocket #BeamsOnLATAM Thanks for the longstanding faith in SpaceX. We very much look forward to doing this milestone flight with you.,0,0,1,0,0.9761,0.0016,0.0223,-0.229,0.616,0.0,0.493,-0.842,1.416,-2.918,-1.398,-4.962,-0.362,-6.47,0.462,-8.338,4.882
Loss of Falcon vehicle today during propellant fill operation. Originated around upper stage oxygen tank. Cause still unknown. More soon.,0,0,0,0,0.0074,0.6921,0.3006,-0.321,-1.589,0.001,0.287,-1.469,-1.316,-4.041,-0.622,-2.82,-0.343,-4.427,-0.018,-4.218,4.833
"Most likely true, but we can't yet find it on any vehicle sensors",0,0,0,0,0.0327,0.2213,0.746,-0.499,-0.623,0.0,0.587,-4.691,2.486,-6.686,1.1,-7.683,7.242,-10.925,2.391,-9.94,1.219
I read a story about a father whose son died incredibly quickly. Can be as little as half an hour in hot sun.,0,0,0,0,0.01,0.7968,0.1932,-0.953,1.556,0.0,0.137,-1.68,-2.25,-7.0,17.539,-7.06,-3.023,-6.307,-1.723,-6.665,-1.436
Aiming for Oct 28 unveil in SF Bay Area of new Tesla/SolarCity solar roof with integrated Powerwall 2.0 battery and Tesla charger.,1,0,0,0,0.4282,0.0039,0.5679,1.747,2.401,0.0,1.023,7.763,2.484,9.76,1.303,10.883,5.155,17.747,2.398,22.742,8.649
Full Interplanetary Tranport System presentation in ~30 mins. Simulation preview:,0,0,0,0,0.0594,0.0058,0.9348,-1.819,0.504,0.001,1.029,-2.878,1.779,-1.843,1.76,-2.025,0.139,-0.708,-0.89,-1.51,-0.802
"12m rocket booster diameter, 17m spaceship diameter, 122 m stack height",0,0,0,0,0.1844,0.0202,0.7954,-2.701,-2.35,0.0,1.284,1.876,-0.666,4.609,-0.101,4.465,-0.586,3.452,-0.07,-0.713,-0.339
Waiting for everyone to reach their seats and get settled. Starting in 5 to 10.,0,0,0,0,0.1796,0.0083,0.8121,-0.582,-2.353,0.001,1.0,-0.663,-0.412,-0.819,-0.809,-0.508,0.599,-0.975,-0.166,-2.927,0.014
"Real fraud going on is denial of climate science. As for ""subsidies"", Tesla gets pennies on dollar vs coal. How about we both go to zero?",1,0,0,0,0.0095,0.863,0.1275,-2.423,2.259,0.002,0.538,-1.208,-0.961,-1.307,-1.036,-0.839,-1.089,-0.91,-1.393,-2.299,0.331
Germany’s Bundesrat votes to ban the internal combustion engine by 2030 by Good for Germany!,0,0,1,0,0.6373,0.0245,0.3383,-1.295,-0.713,0.0,0.444,-5.122,-1.706,-5.41,-0.839,-8.864,-0.52,-12.864,-0.738,-19.224,-0.335
"Utter nonsense. Empirical evidence is what matters, not random speculation.",0,0,0,0,0.0201,0.7211,0.2588,-1.842,1.842,0.001,0.666,-1.676,-0.717,-1.788,-0.745,-4.132,4.383,-3.797,3.669,-2.704,-0.67
"'Westworld' bosses are already crafting Season 2, hint at other worlds",0,0,0,0,0.0992,0.0322,0.8686,-1.022,-0.01,0.0,0.507,1.522,1.652,1.739,1.672,6.682,8.972,8.521,15.328,6.801,1.738
Leaked audio proves just how deceptive/anti-solar utility-backed Amendment 1 really is! RT and read here: #NoOn1 Calculated attempt to deceive Florida voters about solar vote uncovered by Miami Herald,0,0,1,0,0.0073,0.848,0.1447,2.44,-1.929,0.0,0.601,1.298,1.101,1.298,-1.14,0.656,-1.45,1.812,-0.384,2.839,-1.431
Tesla announcement goes live at 5pm California time. 30 minutes of media Q&A to follow.,1,0,0,0,0.1642,0.0031,0.8327,2.359,0.579,0.002,0.199,-0.197,0.929,0.885,0.306,2.162,2.065,2.328,0.978,2.578,-0.244
"According to experts, Hyperloop is both obvious and impossible. Maybe pick one or the other?",0,0,0,0,0.0403,0.5496,0.4102,0.399,-1.126,0.001,0.477,-2.216,0.509,-3.253,0.421,-6.605,2.378,-4.929,0.015,-4.766,0.574
"""Someone is learning how to take down the internet"" Only a matter of time before advanced AI is used to do this. Internet is particularly susceptible to a gradient descent algo.",0,0,1,0,0.1045,0.3212,0.5743,1.302,-1.939,0.001,0.75,0.248,-0.703,-0.376,-0.011,0.344,-1.151,2.646,1.651,1.782,-0.77
"I highly recommend the new all glass roof on the Model S. This was very hard to develop, but it makes the interior feel amazing.",1,0,0,0,0.9756,0.0058,0.0186,2.014,0.972,0.001,0.347,2.749,0.121,2.152,0.339,2.749,-0.566,2.936,-1.348,1.518,-1.525
"In addition, we reinforced the surrounding body structure for improved safety (was already 5 star in all categories).",0,0,0,0,0.9121,0.0043,0.0836,-0.892,-2.673,0.001,0.462,-3.55,-1.361,-3.639,-1.999,-4.799,-1.194,-4.709,-0.653,-11.577,-0.707
Looks like the Model S P100D Easter egg will allow it to do 0 to 60 mph in 2.4 sec and a 10.6 sec 1/4 mile via software update next month,1,0,0,0,0.6262,0.0047,0.3691,-0.367,-0.52,0.0,0.416,0.771,-0.59,1.321,-0.273,2.993,1.832,2.055,4.187,1.138,2.269
Model X numbers should also improve by 0.1 sec on 0 to 60 and 1/4 mile,1,0,0,0,0.3884,0.0196,0.5921,0.474,1.373,0.0,0.448,0.616,-1.831,-0.095,-0.1,-2.498,0.609,-5.546,-0.461,-6.968,0.001
Backlog of 5 seat foldflat config. 6 seat can be made earlier. Actually my fav version.,0,0,0,0,0.9237,0.0058,0.0705,-1.104,1.165,0.0,0.268,-1.06,-0.799,-7.951,0.506,-8.835,3.052,-13.031,-1.264,-11.154,-0.64
Promising early results from the Ludricrous Easter egg. Looks like 0 to 60 mph in 2.34 sec (Motor Trend spec) might be achievable...,0,0,0,0,0.9341,0.0026,0.0632,2.746,-1.441,0.0,0.51,2.355,4.885,1.668,-1.628,1.61,1.377,2.294,-0.534,4.814,5.726
Report highlight: “The data show that the Tesla vehicles crash rate dropped by almost 40 percent after Autosteer installation.”,1,0,0,0,0.016,0.7229,0.2611,-0.195,1.856,0.001,0.605,1.955,-0.969,1.147,-0.021,1.458,-1.079,1.334,-0.829,4.255,0.314
"Not specifically, but there have been several incidences of pedestrian and bicyclist lives saved by Autopilot",0,0,0,0,0.585,0.0184,0.3966,0.729,-0.722,0.001,0.458,3.978,1.474,1.866,0.754,4.88,4.133,5.597,9.968,5.852,0.679
"Yes, safety should improve significantly due to autonomy features, even if regs disallow no driver present",0,0,0,0,0.7724,0.0136,0.214,-0.192,-0.54,0.0,0.261,-1.057,1.219,-5.045,5.85,-5.25,2.37,-6.152,4.771,-6.302,0.121
"Earthquakes tend to have the biggest effect on the surface, like waves on water. That's why LA can…",0,0,0,0,0.0798,0.1695,0.7507,-2.119,2.209,0.0,0.347,-3.761,1.763,-3.932,9.692,-1.458,-0.411,1.017,1.397,3.406,3.028
"Yeah, am hearing this from a lot of people & it's getting me down. I'm just trying to make a positive contribution & hope good comes of it.",0,0,0,0,0.0501,0.6751,0.2748,-1.801,-0.833,0.001,0.285,0.641,-1.945,1.377,2.855,1.443,2.116,2.923,9.589,4.581,6.941
Hyperloop pod race happening this weekend at SpaceX HQ (near LAX). We built a ~mile long vacuum tube on our campus big enough to fit people.,0,0,0,0,0.4718,0.0041,0.5241,0.823,0.419,0.0,0.354,-3.729,0.296,-1.124,1.234,-2.495,2.721,-5.649,2.318,-6.06,1.236
Top AI researchers agree on principles for developing benefical AI,0,0,0,0,0.6212,0.006,0.3728,2.039,1.544,0.0,0.707,3.338,0.607,4.712,1.481,5.356,0.489,4.336,0.123,4.658,-0.011
George Schultz and Jim Baker article in regarding a carbon tax,0,0,0,0,0.0263,0.0272,0.9465,-1.367,-1.364,0.0,0.26,0.208,0.771,1.27,2.107,0.627,6.783,0.615,3.283,-0.659,3.424
Congrats to the Tesla owner who sacrificed damage to his own car to bring a car with an unconscious driver safely to a stop!,1,0,0,0,0.763,0.043,0.194,-0.585,1.298,0.0,0.33,1.677,1.17,-1.199,-0.648,0.409,0.378,0.214,0.596,1.189,1.343
Minor improvements update this weekend. High speed autosteer in about two weeks.,0,0,0,0,0.4879,0.0079,0.5042,0.216,-0.503,0.001,0.612,-0.403,-0.651,-1.124,0.56,0.534,-0.292,0.462,-0.732,-0.042,-0.237
Very few. We have yet to do a China (or Europe) launch of Model 3.,1,0,0,0,0.0736,0.0964,0.83,1.461,-2.421,0.0,0.765,1.125,0.731,0.569,-0.103,2.482,-0.195,5.822,1.643,3.79,1.997
Feature coming soon that allows one touch access to all discovered Tesla Easter eggs,1,0,0,0,0.6739,0.0035,0.3226,0.23,-1.896,0.0,0.673,1.593,-0.332,0.654,-0.103,1.291,-0.82,2.124,1.317,2.116,-0.397
Autolist survey finds Tesla used car values are highest and sell fastest,1,0,0,0,0.6255,0.0122,0.3623,-2.541,2.199,0.002,1.045,0.37,-0.026,0.087,-0.561,0.076,-0.572,0.025,-0.498,-1.091,-0.35
Tesla Semi truck unveil set for September. Team has done an amazing job. Seriously next level.,1,0,0,0,0.9812,0.0044,0.0144,0.865,1.46,0.001,0.5,9.493,13.734,14.948,16.9,12.274,10.163,13.881,14.999,10.544,5.395
"Close-up of rocket stage separation, fast flip, boostback burn in a ring of fire and then…",0,0,0,0,0.0961,0.0252,0.8786,0.273,-0.444,0.001,0.334,1.7,-1.198,2.09,-0.543,2.647,-1.004,1.389,-0.116,0.445,-0.374
: Employees fired by Trump: Sally Yates Preet Bharara James Comey Employees investigating Trump: Sally Yates Pr…,0,0,0,1,0.0107,0.4925,0.4968,2.669,1.284,0.001,0.775,1.537,0.178,1.589,-0.394,1.862,0.786,1.383,-0.589,2.273,-0.454
"Don't know which way Paris will go, but I've done all I can to advise directly to POTUS, through others in WH & via councils, that we remain",0,0,0,0,0.0697,0.0994,0.8309,2.207,1.193,0.001,0.28,1.954,-1.066,1.733,-0.834,0.918,-2.187,1.054,-1.134,1.131,-2.56
"Also, we will have a very high headcount around each Gigafactory keeping it running.…",0,0,0,0,0.4422,0.0104,0.5474,2.425,-1.076,0.0,0.249,2.202,2.93,1.733,4.391,0.873,-0.905,1.411,-0.19,0.091,1.708
Tesla shareholder meeting today. Can't believe it's been 1000 years since we went public.,1,0,0,0,0.5386,0.1416,0.3198,0.976,1.307,0.001,0.607,0.476,-1.134,-0.248,0.533,0.368,1.468,0.368,-0.68,0.026,-1.476
"Just wish they would stop sticking pins in voodoo dolls of me. That hurts, ok?",0,0,0,0,0.0046,0.9344,0.0609,1.752,-1.399,0.001,0.234,0.37,-2.187,0.648,-3.661,0.704,-3.065,0.532,1.104,0.351,-3.057
: #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF #UFF…,0,0,0,1,0.2108,0.1059,0.6833,-0.698,1.124,0.0,0.506,-1.809,-1.118,-1.228,-0.498,0.522,1.389,0.005,-1.274,0.681,1.167
"If Zedd is kind enough to send me a list, it's on",0,0,0,0,0.6691,0.0195,0.3114,-2.617,-0.349,0.002,0.283,-3.036,1.742,-2.284,1.896,-0.918,-0.502,-0.203,0.012,0.758,-1.074
You may have Heard of the person who put it together,0,0,0,0,0.0579,0.0568,0.8853,-0.003,-0.471,0.001,0.268,-3.127,0.651,-4.037,5.466,-8.691,11.202,-6.496,10.958,-8.715,8.316
A SpaceX engineer and marine biologist explain how they got picked to be NASA astronauts Congrats Robb!,0,0,1,0,0.9235,0.0025,0.074,0.943,-1.227,0.001,0.254,0.264,0.704,0.055,-0.405,-0.407,-0.035,-0.092,-0.934,-1.121,-1.298
Tesla Model X is the first SUV ever to receive a 5-Star safety rating in every category US govt testing by finds Model X to be the safest SUV in history by significant margin,1,0,1,0,0.9281,0.0031,0.0687,-1.297,1.45,0.0,0.543,-1.051,-0.906,-2.088,0.808,-2.28,-1.046,0.203,-1.02,-1.603,0.377
In discussions with the government of India requesting temporary relief on import penalties/restrictions…,0,0,0,0,0.0373,0.0473,0.9153,0.625,-1.128,0.002,0.273,1.398,-1.367,1.781,2.519,1.555,-1.26,1.362,-1.168,1.138,-2.444
"Elon Musk publishes plans for colonizing Mars Mars V2 plan coming soon, which I think addresses the most fundamental flaw in V1: how to pay for development & operation of giant rockets",0,0,1,0,0.0887,0.267,0.6443,-1.629,0.209,0.0,0.726,-0.467,5.665,1.246,2.298,1.636,1.368,1.146,0.314,4.469,4.318
No need to rely on scientists for global warming -- just use a thermometer,0,0,0,0,0.1432,0.1856,0.6711,1.898,-0.604,0.001,0.238,-0.557,-2.672,-0.089,-1.995,-0.191,-3.701,0.538,-1.709,0.885,-2.208
Must remember that irony and social media are not friends. Keep forgetting. Dammit.,0,0,0,0,0.0336,0.7641,0.2022,1.569,1.797,0.0,0.253,-0.422,-2.71,-3.118,0.597,-4.331,-0.944,-1.525,1.593,0.025,-1.953
"Rocket is extra toasty and hit the deck hard (used almost all of the emergency crush core), but otherwise good",0,0,0,0,0.6391,0.0497,0.3112,2.245,1.43,0.0,0.546,-0.226,1.691,0.852,0.308,0.792,-0.084,1.037,-0.59,-0.286,3.458
"SpaceX just nailed two rocket landings in one weekend Good summary of rocket landing history. There were two successful water landings much earlier, but they didn't survive long.",0,0,1,0,0.8259,0.0316,0.1425,0.095,-1.894,0.0,0.323,-2.448,-0.781,-0.911,0.199,0.004,-2.562,0.583,-2.379,2.691,-2.153
Maybe it is time for the man cape to return,0,0,0,0,0.1638,0.0256,0.8106,2.473,0.511,0.002,0.14,1.932,1.094,2.074,1.266,1.441,0.035,1.869,-3.849,2.114,-3.797
"Tesla is dropping after says the stock price is 'higher than we have any right to deserve' I should clarify: Tesla stock is obviously high based on past & present, but low if you believe in Tesla's future. Place bets accordingly …",1,0,1,0,0.0409,0.5759,0.3832,-0.253,-1.059,0.0,0.267,5.682,8.289,-0.58,3.951,7.163,3.796,3.547,3.99,-4.992,1.269
Not attacking Electrek. Just making sure people don't have the wrong impression.,0,0,0,0,0.034,0.375,0.591,-0.906,-0.786,0.0,0.566,-0.436,-0.072,-0.007,-0.888,-1.775,-0.28,-2.423,-0.607,-4.549,0.61
"Thoughtful Model 3 review by , one of the most insightful journalists",1,0,0,0,0.9439,0.0054,0.0508,2.423,2.262,0.001,0.745,1.953,1.104,0.137,-0.366,-0.104,0.261,-0.257,-0.595,-0.148,-0.837
24 teams comprised of more than 600 students from colleges and universities around the world will compete with one criterion: maximum speed. SpaceX student Hyperloop top speed competition coming up soon!,0,0,1,0,0.5841,0.004,0.4118,0.416,1.839,0.001,0.216,-4.791,4.035,-7.914,9.564,-8.694,1.31,-5.494,7.349,-5.221,-0.82
Liftoff! 12th mission of our Dragon robotic space freighter in support of the,0,0,1,0,0.5104,0.0037,0.4859,-1.052,0.961,0.0,0.573,-1.853,0.18,-1.392,-0.248,-1.726,-1.296,-1.655,-1.156,-1.59,-1.26
Watching eclipse with sunglasses on through the Model S glass roof. Wow!,1,0,0,0,0.8675,0.0065,0.126,-0.884,0.102,0.001,0.707,2.261,0.265,2.031,-0.713,0.884,-0.45,1.515,-0.956,-0.043,-0.434
First picture of SpaceX spacesuit. More in days to follow. Worth noting that this actually works…,0,0,0,0,0.9197,0.0025,0.0778,-2.169,-2.451,0.001,0.447,-0.813,1.665,-0.451,-1.349,-0.126,-0.605,-2.042,2.742,-3.524,0.662
"Yeah. It's kinda disgusting, but my boys and I love it :)",0,0,0,0,0.3528,0.4401,0.2072,2.649,-2.204,0.001,0.536,4.454,4.938,4.435,5.683,3.375,-0.143,3.732,-1.329,3.342,-0.239
Tesla Model X P100D Ludicrous sets World Record vs Lamborghini Aventador SV Drag Racing: via New Model X SUV now faster than a $500k Lamborghini,1,0,1,0,0.8965,0.0034,0.1002,-1.689,0.323,0.0,1.18,7.199,0.558,3.817,-0.103,0.84,-0.753,4.389,-0.666,0.388,-0.239
Let me check on that for you. Found the answer right here: 🔥💩,0,0,0,0,0.0507,0.5399,0.4095,2.363,0.193,0.0,0.704,2.523,-0.065,2.13,0.214,2.534,2.053,2.185,5.344,-0.873,0.885
"I know that closet is nice and warm, but it's time you admitted you are one of the creators of the ne…",0,0,0,0,0.1195,0.1788,0.7017,0.635,-0.094,0.0,0.713,2.482,-0.812,1.506,-0.132,1.617,-1.19,5.134,0.693,3.973,0.918
The internal Tesla Powerwall install team in PR is very small right now. Sending experi…,1,0,0,0,0.0277,0.345,0.6273,0.534,-0.792,0.0,0.747,-1.015,-0.548,-1.108,0.675,-1.817,1.327,-1.984,1.523,-2.284,2.514
Not good. Sounds like some 3rd party installers are taking advantage o…,0,0,0,0,0.006,0.9148,0.0792,1.175,-0.85,0.0,0.35,1.903,-1.262,0.217,-0.146,1.841,-1.118,0.509,-0.671,0.529,-2.172
The last of ten Iridium global communication satellites delivered to orbit several hundred miles…,0,0,0,0,0.0693,0.0237,0.907,-1.977,-1.318,0.001,0.467,-1.594,-0.405,-1.194,-0.654,0.021,0.118,-0.086,2.074,0.079,-0.836
"To be more inclusive, how about a ""pick your tech level"" setting. Could make the Tesla sound like horse…",1,0,0,0,0.1342,0.2064,0.6594,-1.979,1.241,0.001,0.938,-1.222,-0.769,-0.956,-0.16,-0.135,-0.811,-0.503,-0.707,-0.373,-1.027
That's just to win our Hyperloop student competition in ~1 mile tube. Practical version w…,0,0,0,0,0.353,0.011,0.6359,-1.355,0.718,0.0,0.586,0.273,0.818,-0.802,-0.626,-0.899,-0.033,-0.544,-1.506,-0.027,-0.985
"Not ready to do a proper announcement yet, but maybe in a month or so. Maryland has been a…",0,0,0,0,0.0354,0.3287,0.6359,2.499,0.126,0.0,0.372,-0.765,-0.847,0.352,-1.212,1.174,-0.458,2.693,0.84,2.526,-1.769
I placed the flowers Three broken ribs A pierced lung And still he fought For peace at…,0,0,0,0,0.0722,0.2305,0.6973,0.131,-0.766,0.001,0.505,-2.333,4.198,-2.79,19.184,-2.094,0.596,-2.311,1.3,-0.941,-0.392
"""If one day, my words are against science, choose science."" Mustafa Kemal Atatürk",0,0,0,0,0.0599,0.1919,0.7482,-0.762,2.114,0.001,0.872,-0.68,3.981,-1.632,9.537,-1.188,0.348,-2.648,3.968,-3.22,-0.331
"It can transform into a robot, fight aliens and make one hell of a latte",0,0,0,0,0.5878,0.0402,0.372,-2.67,1.095,0.001,0.208,-1.096,-0.92,-1.099,-1.832,-2.043,1.871,-2.043,-2.077,-5.312,9.845
Trump directs NASA to send astronauts to the moon and then Mars It is high time that humanity went beyond Earth. Should have a moon base by now and sent astronauts to Mars. The future needs to inspire.,0,0,1,0,0.3756,0.0281,0.5964,2.044,-1.115,0.0,0.295,1.573,2.789,1.947,0.571,1.386,-1.77,1.199,-1.958,3.63,0.308
