whole_text,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_t1_z,volume_t1_z,close_t2_z,volume_t2_z,close_t3_z,volume_t3_z,close_t4_z,volume_t4_z,close_t5_z,volume_t5_z
Filtering particulates from air makes a significant & measurable diff to health. Wd like to credit Larry Page with turning me on to this.,0,0,0,0,0.6443,0.0292,0.3264,-1.478,-2.3,0.001,0.763,-1.759,-1.005,-1.61,-0.974,-0.206,-1.066,-0.564,-1.161,-1.281,-0.153
"Launch trajectory of Japanese commercial satellite JCSat-14, enroute to 36,000 km above Earth",0,0,0,0,0.0954,0.0148,0.8898,-0.871,0.628,0.002,0.251,0.359,-1.461,-1.299,-1.173,-1.692,-1.391,-1.316,-1.409,1.438,0.361
"Totally agree. Am told this will be fixed by Thurs, maybe Fri.",0,1,0,0,0.7039,0.0194,0.2767,0.997,-2.376,0.001,0.225,1.954,-2.546,2.061,4.711,3.4,3.169,0.352,-0.068,-0.859,1.353
"Per the letter, Tesla paid $55/hr for *additional* services, so no.",1,1,0,0,0.0337,0.2796,0.6866,-0.651,-0.797,0.001,0.297,0.373,0.095,0.634,3.231,0.894,-1.078,0.742,1.239,0.938,1.23
"No prob. We care about doing what's fair & just. Don't always get it right, but intent is always there & we make amends when wrong",0,1,0,0,0.3144,0.1078,0.5778,2.191,-1.746,0.001,0.796,0.032,-0.464,-1.834,-0.472,-0.089,-0.566,-0.941,-0.551,-2.239,-0.265
Ancient Mars likely saw violent tsunamis that forever altered its landscape. Great image of ancient Mars,0,0,1,0,0.5179,0.079,0.4032,1.34,2.042,0.001,0.499,1.177,-0.286,2.611,0.513,6.208,4.418,5.831,0.363,7.089,0.393
Really fun Model X review by . Best part is X racing while towing a fuel sports car,1,0,0,0,0.9674,0.0032,0.0294,0.232,2.127,0.0,1.112,-0.603,0.185,-3.698,0.615,-3.322,-0.376,-1.049,-0.117,-1.821,-0.393
Just heard that Norway will ban new sales of fuel cars in 2025. What an amazingly awesome country. You guys rock!!,0,0,0,0,0.9629,0.0076,0.0294,0.852,0.925,0.0,1.268,5.128,1.207,6.831,1.238,7.125,0.517,7.683,-0.174,5.601,-0.105
Upgrades underway to enable rocket to compensate for a thrust shortfall on one of the three landing engines. Probably get there end of year.,0,0,0,0,0.2965,0.0146,0.6889,1.917,1.812,0.001,0.997,1.565,-0.407,1.763,-0.418,2.606,0.535,1.053,0.443,1.049,-0.523
Wrong to exclude non-occupant deaths. Autopilot would have prevented this cyclist from being killed,0,0,0,0,0.0061,0.8357,0.1582,-2.301,-0.981,0.0,0.197,-0.951,-2.508,-3.289,-0.693,-1.419,-2.149,-2.503,-3.706,-2.471,-0.26
"Will be working at Tesla on Autopilot & Model 3 today, then aiming to pull an all-nighter and complete the master product plan",1,0,0,0,0.355,0.0067,0.6383,-0.905,1.679,0.0,0.534,0.078,-0.48,-2.25,1.554,6.026,2.764,7.319,12.575,4.216,0.894
Finishing off the plan while listening to the soundtrack from Gatsby. Seems appropriate...,0,0,0,0,0.7312,0.0033,0.2655,1.646,-1.094,0.001,0.345,-0.424,1.711,-1.049,0.346,0.134,1.641,-0.14,0.056,-0.689,0.864
Except for the tweet about large amounts of crack (actually just small amounts),0,1,0,0,0.1126,0.1783,0.7091,2.076,-0.199,0.0,0.932,1.618,-0.746,1.041,-0.803,1.387,-1.043,1.848,-0.217,3.338,-0.488
Maybe as a future optimization. Would only matter if it was extremely big.,0,1,0,0,0.1663,0.142,0.6917,1.801,-1.027,0.001,0.388,-0.393,-0.712,-1.294,0.693,-2.522,-0.133,-3.864,0.456,-3.668,-0.943
Via : Sun-Powered Airplane Completes Historic Trip Around The World,0,0,0,0,0.1616,0.0049,0.8336,0.642,-2.187,0.0,0.959,-1.06,-0.469,0.064,-0.665,0.064,-0.809,0.064,1.804,-2.023,1.925
Letter from basically every scientific org in the United States to Congress about climate change,0,0,0,0,0.0849,0.086,0.8291,-1.022,1.732,0.0,0.987,1.788,-0.73,1.891,-0.645,2.554,-0.232,3.15,-0.841,6.129,-0.35
Should mention that Gigafactory will be fully powered by clean energy when complete & include battery recycling,0,0,0,0,0.4605,0.0125,0.5271,-1.184,0.803,0.0,0.429,-8.965,5.127,-10.042,-0.873,-20.809,5.272,-20.809,0.393,-19.732,7.914
Will be live streaming the Gigafactory launch party tonight. Check this eve.,0,0,0,0,0.3277,0.003,0.6693,2.471,2.653,0.001,0.485,0.605,-0.889,0.813,-1.392,1.021,-1.146,0.188,-0.089,-0.763,-0.849
"Yeah. Movie still enjoyable due to some great characters, but plot & editing could've been better. Really needed more Joker+Harley.",0,1,0,0,0.9174,0.0188,0.0638,2.445,0.078,0.0,0.608,1.109,-0.148,3.242,4.629,3.667,3.705,3.083,0.596,2.02,1.431
Journalist Q&A for 30 mins and embargo ends at 12:30,0,0,0,0,0.0522,0.0066,0.9412,0.238,2.351,0.001,0.819,0.934,0.132,0.41,-0.835,0.227,-1.031,0.982,-0.786,1.172,-0.943
SES-10 will #launch on flight-proven Falcon-9 rocket #BeamsOnLATAM Thanks for the longstanding faith in SpaceX. We very much look forward to doing this milestone flight with you.,0,0,1,0,0.9761,0.0016,0.0223,-0.229,0.616,0.0,0.493,-0.842,1.416,-2.918,-1.398,-4.962,-0.362,-6.47,0.462,-8.338,4.882
"Not allowed, according to HK regulations. Happy to do it if regs change.",0,1,0,0,0.2809,0.043,0.6761,-2.746,0.079,0.001,0.713,-0.767,-0.128,-0.881,-0.915,-1.264,-0.077,-0.434,1.013,-2.318,0.389
Loss of Falcon vehicle today during propellant fill operation. Originated around upper stage oxygen tank. Cause still unknown. More soon.,0,0,0,0,0.0074,0.6921,0.3006,-0.321,-1.589,0.001,0.287,-1.469,-1.316,-4.041,-0.622,-2.82,-0.343,-4.427,-0.018,-4.218,4.833
"Most likely true, but we can't yet find it on any vehicle sensors",0,0,0,0,0.0327,0.2213,0.746,-0.499,-0.623,0.0,0.587,-4.691,2.486,-6.686,1.1,-7.683,7.242,-10.925,2.391,-9.94,1.219
currently stops at 20% state of charge. This number will be configurable.,0,1,0,0,0.0356,0.0242,0.9402,-2.388,0.772,0.001,0.66,0.545,-0.79,0.608,0.271,0.227,-0.741,-0.218,-0.144,0.1,-0.223
"yes. Also, only worked if you logged on to a malicious hotspot & used browser. No customers were hacked.",0,1,0,0,0.2178,0.1062,0.676,2.65,0.569,0.001,1.444,1.886,0.112,2.617,-0.355,1.668,-0.429,1.466,-0.531,0.929,-0.599
Aiming for Oct 28 unveil in SF Bay Area of new Tesla/SolarCity solar roof with integrated Powerwall 2.0 battery and Tesla charger.,1,0,0,0,0.4282,0.0039,0.5679,1.747,2.401,0.0,1.023,7.763,2.484,9.76,1.303,10.883,5.155,17.747,2.398,22.742,8.649
Full Interplanetary Tranport System presentation in ~30 mins. Simulation preview:,0,0,0,0,0.0594,0.0058,0.9348,-1.819,0.504,0.001,1.029,-2.878,1.779,-1.843,1.76,-2.025,0.139,-0.708,-0.89,-1.51,-0.802
"12m rocket booster diameter, 17m spaceship diameter, 122 m stack height",0,0,0,0,0.1844,0.0202,0.7954,-2.701,-2.35,0.0,1.284,1.876,-0.666,4.609,-0.101,4.465,-0.586,3.452,-0.07,-0.713,-0.339
Waiting for everyone to reach their seats and get settled. Starting in 5 to 10.,0,0,0,0,0.1796,0.0083,0.8121,-0.582,-2.353,0.001,1.0,-0.663,-0.412,-0.819,-0.809,-0.508,0.599,-0.975,-0.166,-2.927,0.014
"Three cable elevator on a crane. Wind force on Mars is low, so don't need to worry about being blown around.",0,1,0,0,0.3537,0.0738,0.5725,-2.622,-0.144,0.001,0.939,-0.677,-0.029,-0.33,-0.377,-0.985,0.442,-0.908,-0.935,-1.704,1.481
I use twitter for news orgs. My Insta has same women as men. What's up with the phoney PC police axe-grinding?,0,1,0,0,0.0266,0.5802,0.3932,-0.836,-0.882,0.0,0.373,1.38,0.31,1.266,-0.819,2.525,2.744,0.865,2.025,0.446,3.143
"Real fraud going on is denial of climate science. As for ""subsidies"", Tesla gets pennies on dollar vs coal. How about we both go to zero?",1,0,0,0,0.0095,0.863,0.1275,-2.423,2.259,0.002,0.538,-1.208,-0.961,-1.307,-1.036,-0.839,-1.089,-0.91,-1.393,-2.299,0.331
Germany’s Bundesrat votes to ban the internal combustion engine by 2030 by Good for Germany!,0,0,1,0,0.6373,0.0245,0.3383,-1.295,-0.713,0.0,0.444,-5.122,-1.706,-5.41,-0.839,-8.864,-0.52,-12.864,-0.738,-19.224,-0.335
"Utter nonsense. Empirical evidence is what matters, not random speculation.",0,0,0,0,0.0201,0.7211,0.2588,-1.842,1.842,0.001,0.666,-1.676,-0.717,-1.788,-0.745,-4.132,4.383,-3.797,3.669,-2.704,-0.67
Leaked audio proves just how deceptive/anti-solar utility-backed Amendment 1 really is! RT and read here: #NoOn1 Calculated attempt to deceive Florida voters about solar vote uncovered by Miami Herald,0,0,1,0,0.0073,0.848,0.1447,2.44,-1.929,0.0,0.601,1.298,1.101,1.298,-1.14,0.656,-1.45,1.812,-0.384,2.839,-1.431
Tesla announcement goes live at 5pm California time. 30 minutes of media Q&A to follow.,1,0,0,0,0.1642,0.0031,0.8327,2.359,0.579,0.002,0.199,-0.197,0.929,0.885,0.306,2.162,2.065,2.328,0.978,2.578,-0.244
"According to experts, Hyperloop is both obvious and impossible. Maybe pick one or the other?",0,0,0,0,0.0403,0.5496,0.4102,0.399,-1.126,0.001,0.477,-2.216,0.509,-3.253,0.421,-6.605,2.378,-4.929,0.015,-4.766,0.574
This is also what I was alluding to by Model 3 part 2,1,1,0,0,0.1161,0.0152,0.8687,-1.813,0.752,0.001,0.496,-3.386,9.664,-3.961,9.024,-5.618,4.306,-6.325,6.791,-6.227,0.863
"""Someone is learning how to take down the internet"" Only a matter of time before advanced AI is used to do this. Internet is particularly susceptible to a gradient descent algo.",0,0,1,0,0.1045,0.3212,0.5743,1.302,-1.939,0.001,0.75,0.248,-0.703,-0.376,-0.011,0.344,-1.151,2.646,1.651,1.782,-0.77
There would def be millions of agents simultaneously doing a Monte Carlo sim & combining the results to build a map of weaknesses,0,1,0,0,0.0526,0.2489,0.6985,-2.464,0.652,0.0,0.52,-1.215,-0.796,-3.985,2.717,-1.677,0.043,-1.061,3.488,2.943,-0.696
Congratulations to China on the successful launch of the LM 5 heavy lift rocket!,0,1,0,0,0.977,0.0023,0.0206,2.266,1.99,0.001,0.671,1.048,-0.485,0.715,-0.683,1.237,-0.698,0.803,-1.36,0.976,-1.403
"I highly recommend the new all glass roof on the Model S. This was very hard to develop, but it makes the interior feel amazing.",1,0,0,0,0.9756,0.0058,0.0186,2.014,0.972,0.001,0.347,2.749,0.121,2.152,0.339,2.749,-0.566,2.936,-1.348,1.518,-1.525
Looks like the Model S P100D Easter egg will allow it to do 0 to 60 mph in 2.4 sec and a 10.6 sec 1/4 mile via software update next month,1,0,0,0,0.6262,0.0047,0.3691,-0.367,-0.52,0.0,0.416,0.771,-0.59,1.321,-0.273,2.993,1.832,2.055,4.187,1.138,2.269
Backlog of 5 seat foldflat config. 6 seat can be made earlier. Actually my fav version.,0,0,0,0,0.9237,0.0058,0.0705,-1.104,1.165,0.0,0.268,-1.06,-0.799,-7.951,0.506,-8.835,3.052,-13.031,-1.264,-11.154,-0.64
"If the results look good from the latest point release, then we are days away from a release to all HW1 and to all HW2 early next week",0,1,0,0,0.8067,0.0029,0.1904,-2.384,0.136,0.0,0.284,0.035,0.878,0.742,1.379,-0.23,4.458,1.36,0.306,0.83,6.696
Promising early results from the Ludricrous Easter egg. Looks like 0 to 60 mph in 2.34 sec (Motor Trend spec) might be achievable...,0,0,0,0,0.9341,0.0026,0.0632,2.746,-1.441,0.0,0.51,2.355,4.885,1.668,-1.628,1.61,1.377,2.294,-0.534,4.814,5.726
Report highlight: “The data show that the Tesla vehicles crash rate dropped by almost 40 percent after Autosteer installation.”,1,0,0,0,0.016,0.7229,0.2611,-0.195,1.856,0.001,0.605,1.955,-0.969,1.147,-0.021,1.458,-1.079,1.334,-0.829,4.255,0.314
"Similar to SpaceX, the T is like a cross section of an electric motor, just as the X is like a rocket trajectory",0,1,0,0,0.0854,0.0149,0.8997,1.635,-2.529,0.001,0.196,1.262,-1.476,2.409,1.494,2.196,-0.449,2.107,-2.532,2.026,-0.266
There will be a software update this weekend that improves self-calibration ability,0,1,0,0,0.77,0.0031,0.2269,0.993,-1.075,0.0,0.157,-3.705,4.449,-8.589,13.636,-4.958,9.918,-8.713,0.681,-6.085,-1.925
"Yeah, am hearing this from a lot of people & it's getting me down. I'm just trying to make a positive contribution & hope good comes of it.",0,0,0,0,0.0501,0.6751,0.2748,-1.801,-0.833,0.001,0.285,0.641,-1.945,1.377,2.855,1.443,2.116,2.923,9.589,4.581,6.941
Hyperloop pod race happening this weekend at SpaceX HQ (near LAX). We built a ~mile long vacuum tube on our campus big enough to fit people.,0,0,0,0,0.4718,0.0041,0.5241,0.823,0.419,0.0,0.354,-3.729,0.296,-1.124,1.234,-2.495,2.721,-5.649,2.318,-6.06,1.236
"I agree with creating great jobs, restoring US strength as a great manufacturer of products and anything that makes the future exciting",0,1,0,0,0.9551,0.0042,0.0407,-2.506,-0.101,0.0,1.227,0.65,0.06,0.194,1.776,-0.395,-0.576,-1.904,0.559,-1.357,-0.663
Take out the floor mats and its 2.27. MT said everything had to be standard production.,0,1,0,0,0.05,0.2551,0.6949,-2.189,2.077,0.001,0.223,-3.003,3.166,-3.251,2.546,-4.821,8.732,-4.821,6.023,-5.399,1.832
"yes, altitude improves performance for electric. Opposite of combustion cars.",0,1,0,0,0.4703,0.044,0.4857,1.664,0.998,0.001,0.597,1.212,0.89,1.689,1.234,1.827,0.502,1.134,2.375,0.579,-0.018
George Schultz and Jim Baker article in regarding a carbon tax,0,0,0,0,0.0263,0.0272,0.9465,-1.367,-1.364,0.0,0.26,0.208,0.771,1.27,2.107,0.627,6.783,0.615,3.283,-0.659,3.424
Congrats to the Tesla owner who sacrificed damage to his own car to bring a car with an unconscious driver safely to a stop!,1,0,0,0,0.763,0.043,0.194,-0.585,1.298,0.0,0.33,1.677,1.17,-1.199,-0.648,0.409,0.378,0.214,0.596,1.189,1.343
"Yes, but only deep in solid rock, where the walls are self-supporting and concrete reinforcements arguably aren't needed",0,1,0,0,0.1209,0.129,0.75,-1.111,0.112,0.001,0.378,4.138,-1.06,1.32,-1.511,1.936,-2.023,0.985,-2.005,2.229,-1.765
I didn't pose for it (hopefully that's obvious) or want me on cover. Tunnel boring machine pic wd be way better,0,1,0,0,0.0193,0.7943,0.1864,2.599,-0.361,0.001,0.799,0.434,-0.792,0.641,-0.705,-1.298,0.063,0.319,-0.245,0.954,-0.706
Something on a tristate border might work. Gigafactory plus nearby supporting supply chain needs a very large workforce.,0,1,0,0,0.227,0.044,0.7289,-2.228,-0.019,0.001,0.595,-0.744,0.211,-2.582,0.953,-2.824,-0.144,-2.822,0.105,-3.872,2.109
The shorter wheelbase only allows for a 75 kWh pack in Model 3 at current cell/module energy densities,1,1,0,0,0.0674,0.1598,0.7728,2.408,0.52,0.0,0.577,2.932,1.795,1.805,0.194,2.072,-0.541,2.827,0.256,0.695,1.214
Glad to have Tencent as an investor and advisor to Tesla,1,1,0,0,0.9729,0.0028,0.0244,2.192,0.001,0.001,0.757,2.842,0.357,2.639,1.019,2.096,-0.435,2.944,0.403,2.605,1.387
Feature coming soon that allows one touch access to all discovered Tesla Easter eggs,1,0,0,0,0.6739,0.0035,0.3226,0.23,-1.896,0.0,0.673,1.593,-0.332,0.654,-0.103,1.291,-0.82,2.124,1.317,2.116,-0.397
Autolist survey finds Tesla used car values are highest and sell fastest,1,0,0,0,0.6255,0.0122,0.3623,-2.541,2.199,0.002,1.045,0.37,-0.026,0.087,-0.561,0.076,-0.572,0.025,-0.498,-1.091,-0.35
This investor group should buy Ford stock. Their governance is amazing ...,0,1,0,0,0.9352,0.0104,0.0544,-1.587,2.088,0.001,0.269,-1.72,2.665,-2.498,0.147,-1.879,-0.332,-1.291,-0.321,-1.609,0.858
"Besides, I already said we'd add more independent members during SCTY merger. Will announce soon, but this group has nothing to do with it.",0,1,0,0,0.0866,0.1119,0.8015,1.503,1.188,0.0,0.15,-3.028,1.92,-3.314,0.907,-3.457,5.717,-4.211,-0.939,-5.461,4.58
Tesla Semi truck unveil set for September. Team has done an amazing job. Seriously next level.,1,0,0,0,0.9812,0.0044,0.0144,0.865,1.46,0.001,0.5,9.493,13.734,14.948,16.9,12.274,10.163,13.881,14.999,10.544,5.395
Tesla will soon be offering a compelling means of upgrading a 60 to a 75,1,1,0,0,0.6372,0.009,0.3539,1.941,-0.781,0.0,0.327,4.661,3.476,2.86,-0.771,2.32,-2.051,3.58,3.968,5.561,7.647
"Great food, great ambience and with great friends. We all really enjoyed the visit.",0,1,0,0,0.9891,0.0032,0.0077,1.388,-0.843,0.0,0.323,1.18,-0.538,-2.985,-0.496,1.18,-0.452,-3.332,2.217,-5.415,2.147
"Close-up of rocket stage separation, fast flip, boostback burn in a ring of fire and then…",0,0,0,0,0.0961,0.0252,0.8786,0.273,-0.444,0.001,0.334,1.7,-1.198,2.09,-0.543,2.647,-1.004,1.389,-0.116,0.445,-0.374
: Employees fired by Trump: Sally Yates Preet Bharara James Comey Employees investigating Trump: Sally Yates Pr…,0,0,0,1,0.0107,0.4925,0.4968,2.669,1.284,0.001,0.775,1.537,0.178,1.589,-0.394,1.862,0.786,1.383,-0.589,2.273,-0.454
Wearing anything at all is just a conspiracy by the capitalist running dogs of Big Underwear,0,1,0,0,0.0339,0.5042,0.4618,1.049,-0.376,0.0,0.715,-1.85,-0.757,-3.022,-0.705,-2.56,-0.463,-0.925,-0.749,-0.925,-0.839
Tesla shareholder meeting today. Can't believe it's been 1000 years since we went public.,1,0,0,0,0.5386,0.1416,0.3198,0.976,1.307,0.001,0.607,0.476,-1.134,-0.248,0.533,0.368,1.468,0.368,-0.68,0.026,-1.476
That's why the pic is in black and white. Didn't have color back then.,0,1,0,0,0.0316,0.3652,0.6032,-2.5,0.047,0.001,0.401,-0.508,0.185,0.738,0.832,0.793,5.428,0.251,1.572,-1.484,2.986
Thanks :) Such an outrageous lawsuit. People sometimes underestimate strength of US judiciary. Lot of respect for the judge & jury system.,0,1,0,0,0.861,0.0468,0.0922,1.18,2.303,0.0,0.224,3.217,6.025,2.924,1.021,2.487,-1.053,3.804,1.976,3.61,3.367
These guys want us to die so bad they can taste it,0,1,0,0,0.0087,0.9293,0.062,-0.723,-1.274,0.001,0.337,-0.33,-0.539,-0.511,-1.299,0.049,-0.079,2.212,-0.759,1.958,-1.253
"If Zedd is kind enough to send me a list, it's on",0,0,0,0,0.6691,0.0195,0.3114,-2.617,-0.349,0.002,0.283,-3.036,1.742,-2.284,1.896,-0.918,-0.502,-0.203,0.012,0.758,-1.074
A SpaceX engineer and marine biologist explain how they got picked to be NASA astronauts Congrats Robb!,0,0,1,0,0.9235,0.0025,0.074,0.943,-1.227,0.001,0.254,0.264,0.704,0.055,-0.405,-0.407,-0.035,-0.092,-0.934,-1.121,-1.298
Tesla Model X is the first SUV ever to receive a 5-Star safety rating in every category US govt testing by finds Model X to be the safest SUV in history by significant margin,1,0,1,0,0.9281,0.0031,0.0687,-1.297,1.45,0.0,0.543,-1.051,-0.906,-2.088,0.808,-2.28,-1.046,0.203,-1.02,-1.603,0.377
"Elon Musk publishes plans for colonizing Mars Mars V2 plan coming soon, which I think addresses the most fundamental flaw in V1: how to pay for development & operation of giant rockets",0,0,1,0,0.0887,0.267,0.6443,-1.629,0.209,0.0,0.726,-0.467,5.665,1.246,2.298,1.636,1.368,1.146,0.314,4.469,4.318
No plans to change cell form factor for X and S,0,1,0,0,0.0425,0.0967,0.8608,2.356,-1.47,0.001,0.537,2.672,2.898,1.392,0.047,1.04,-0.241,0.721,0.798,-0.719,-0.643
No need to rely on scientists for global warming -- just use a thermometer,0,0,0,0,0.1432,0.1856,0.6711,1.898,-0.604,0.001,0.238,-0.557,-2.672,-0.089,-1.995,-0.191,-3.701,0.538,-1.709,0.885,-2.208
Must remember that irony and social media are not friends. Keep forgetting. Dammit.,0,0,0,0,0.0336,0.7641,0.2022,1.569,1.797,0.0,0.253,-0.422,-2.71,-3.118,0.597,-4.331,-0.944,-1.525,1.593,0.025,-1.953
"Several tons of force on each fin at high angles of attack & peak heating is the cube of speed, so a Mach 8 reentry is 8X Mach 4. Intense.",0,1,0,0,0.2714,0.0625,0.6661,0.157,-0.415,0.0,0.681,-0.51,-0.164,0.12,-0.987,-0.295,-0.21,-2.314,1.707,-0.661,0.38
"SpaceX just nailed two rocket landings in one weekend Good summary of rocket landing history. There were two successful water landings much earlier, but they didn't survive long.",0,0,1,0,0.8259,0.0316,0.1425,0.095,-1.894,0.0,0.323,-2.448,-0.781,-0.911,0.199,0.004,-2.562,0.583,-2.379,2.691,-2.153
Maybe it is time for the man cape to return,0,0,0,0,0.1638,0.0256,0.8106,2.473,0.511,0.002,0.14,1.932,1.094,2.074,1.266,1.441,0.035,1.869,-3.849,2.114,-3.797
"One of my sons is named Xavier, after Professor X!",0,1,0,0,0.5945,0.0029,0.4026,-2.504,-0.562,0.001,0.461,-0.222,-0.688,0.513,-0.88,0.614,-0.806,-0.214,0.08,-0.618,-1.478
"Tesla is dropping after says the stock price is 'higher than we have any right to deserve' I should clarify: Tesla stock is obviously high based on past & present, but low if you believe in Tesla's future. Place bets accordingly …",1,0,1,0,0.0409,0.5759,0.3832,-0.253,-1.059,0.0,0.267,5.682,8.289,-0.58,3.951,7.163,3.796,3.547,3.99,-4.992,1.269
"Still a lot of work needed to receive formal approval, but am optimistic that will occur rapidly",0,1,0,0,0.6305,0.0315,0.338,0.591,-2.155,0.0,0.434,-0.792,1.14,-5.847,4.649,-6.858,4.635,-5.341,-0.628,-9.385,16.937
"Thoughtful Model 3 review by , one of the most insightful journalists",1,0,0,0,0.9439,0.0054,0.0508,2.423,2.262,0.001,0.745,1.953,1.104,0.137,-0.366,-0.104,0.261,-0.257,-0.595,-0.148,-0.837
24 teams comprised of more than 600 students from colleges and universities around the world will compete with one criterion: maximum speed. SpaceX student Hyperloop top speed competition coming up soon!,0,0,1,0,0.5841,0.004,0.4118,0.416,1.839,0.001,0.216,-4.791,4.035,-7.914,9.564,-8.694,1.31,-5.494,7.349,-5.221,-0.82
Liftoff! 12th mission of our Dragon robotic space freighter in support of the,0,0,1,0,0.5104,0.0037,0.4859,-1.052,0.961,0.0,0.573,-1.853,0.18,-1.392,-0.248,-1.726,-1.296,-1.655,-1.156,-1.59,-1.26
Watching eclipse with sunglasses on through the Model S glass roof. Wow!,1,0,0,0,0.8675,0.0065,0.126,-0.884,0.102,0.001,0.707,2.261,0.265,2.031,-0.713,0.884,-0.45,1.515,-0.956,-0.043,-0.434
First picture of SpaceX spacesuit. More in days to follow. Worth noting that this actually works…,0,0,0,0,0.9197,0.0025,0.0778,-2.169,-2.451,0.001,0.447,-0.813,1.665,-0.451,-1.349,-0.126,-0.605,-2.042,2.742,-3.524,0.662
